DATE,DRAW,WINNING NUMBERS,winning_digit_1,winning_digit_2,winning_digit_3
1522368000.0,0.0,640.0,6.0,4.0,0.0
1522368000.0,1.0,55.0,0.0,5.0,5.0
1522368000.0,2.0,681.0,6.0,8.0,1.0
1522454400.0,2.0,409.0,4.0,0.0,9.0
1522454400.0,1.0,901.0,9.0,0.0,1.0
1522454400.0,0.0,113.0,1.0,1.0,3.0
1522540800.0,0.0,786.0,7.0,8.0,6.0
1522540800.0,1.0,274.0,2.0,7.0,4.0
1522540800.0,2.0,421.0,4.0,2.0,1.0
1522627200.0,0.0,272.0,2.0,7.0,2.0
1522627200.0,1.0,873.0,8.0,7.0,3.0
1522627200.0,2.0,430.0,4.0,3.0,0.0
1522713600.0,1.0,483.0,4.0,8.0,3.0
1522713600.0,2.0,373.0,3.0,7.0,3.0
1522713600.0,0.0,803.0,8.0,0.0,3.0
1522800000.0,0.0,708.0,7.0,0.0,8.0
1522800000.0,1.0,121.0,1.0,2.0,1.0
1522800000.0,2.0,234.0,2.0,3.0,4.0
1522886400.0,0.0,350.0,3.0,5.0,0.0
1522886400.0,1.0,574.0,5.0,7.0,4.0
1522886400.0,2.0,672.0,6.0,7.0,2.0
1522972800.0,2.0,191.0,1.0,9.0,1.0
1522972800.0,1.0,279.0,2.0,7.0,9.0
1522972800.0,0.0,313.0,3.0,1.0,3.0
1523059200.0,0.0,626.0,6.0,2.0,6.0
1523059200.0,1.0,427.0,4.0,2.0,7.0
1523059200.0,2.0,940.0,9.0,4.0,0.0
1523145600.0,0.0,610.0,6.0,1.0,0.0
1523145600.0,1.0,527.0,5.0,2.0,7.0
1523145600.0,2.0,1.0,0.0,0.0,1.0
1523232000.0,0.0,656.0,6.0,5.0,6.0
1523232000.0,1.0,317.0,3.0,1.0,7.0
1523232000.0,2.0,185.0,1.0,8.0,5.0
1523318400.0,2.0,247.0,2.0,4.0,7.0
1523318400.0,0.0,212.0,2.0,1.0,2.0
1523318400.0,1.0,448.0,4.0,4.0,8.0
1523404800.0,0.0,682.0,6.0,8.0,2.0
1523404800.0,1.0,389.0,3.0,8.0,9.0
1523404800.0,2.0,288.0,2.0,8.0,8.0
1523491200.0,0.0,684.0,6.0,8.0,4.0
1523491200.0,1.0,342.0,3.0,4.0,2.0
1523491200.0,2.0,933.0,9.0,3.0,3.0
1523577600.0,0.0,307.0,3.0,0.0,7.0
1523577600.0,1.0,51.0,0.0,5.0,1.0
1523577600.0,2.0,20.0,0.0,2.0,0.0
1523664000.0,1.0,882.0,8.0,8.0,2.0
1523664000.0,0.0,689.0,6.0,8.0,9.0
1523664000.0,2.0,187.0,1.0,8.0,7.0
1523750400.0,2.0,438.0,4.0,3.0,8.0
1523750400.0,0.0,378.0,3.0,7.0,8.0
1523750400.0,1.0,431.0,4.0,3.0,1.0
1523836800.0,0.0,678.0,6.0,7.0,8.0
1523836800.0,2.0,997.0,9.0,9.0,7.0
1523836800.0,1.0,877.0,8.0,7.0,7.0
1523923200.0,0.0,860.0,8.0,6.0,0.0
1523923200.0,1.0,202.0,2.0,0.0,2.0
1523923200.0,2.0,16.0,0.0,1.0,6.0
1524009600.0,0.0,842.0,8.0,4.0,2.0
1524009600.0,1.0,140.0,1.0,4.0,0.0
1524009600.0,2.0,249.0,2.0,4.0,9.0
1524096000.0,2.0,243.0,2.0,4.0,3.0
1524096000.0,1.0,841.0,8.0,4.0,1.0
1524096000.0,0.0,702.0,7.0,0.0,2.0
1524182400.0,0.0,306.0,3.0,0.0,6.0
1524182400.0,1.0,494.0,4.0,9.0,4.0
1524182400.0,2.0,682.0,6.0,8.0,2.0
1524268800.0,0.0,569.0,5.0,6.0,9.0
1524268800.0,1.0,68.0,0.0,6.0,8.0
1524268800.0,2.0,407.0,4.0,0.0,7.0
1524355200.0,0.0,432.0,4.0,3.0,2.0
1524355200.0,1.0,746.0,7.0,4.0,6.0
1524355200.0,2.0,69.0,0.0,6.0,9.0
1524441600.0,0.0,9.0,0.0,0.0,9.0
1524441600.0,1.0,116.0,1.0,1.0,6.0
1524441600.0,2.0,175.0,1.0,7.0,5.0
1524528000.0,1.0,447.0,4.0,4.0,7.0
1524528000.0,2.0,14.0,0.0,1.0,4.0
1524528000.0,0.0,572.0,5.0,7.0,2.0
1524614400.0,0.0,108.0,1.0,0.0,8.0
1524614400.0,1.0,397.0,3.0,9.0,7.0
1524614400.0,2.0,449.0,4.0,4.0,9.0
1524700800.0,0.0,236.0,2.0,3.0,6.0
1524700800.0,1.0,997.0,9.0,9.0,7.0
1524700800.0,2.0,34.0,0.0,3.0,4.0
1524787200.0,0.0,362.0,3.0,6.0,2.0
1524787200.0,1.0,261.0,2.0,6.0,1.0
1524787200.0,2.0,142.0,1.0,4.0,2.0
1524873600.0,2.0,25.0,0.0,2.0,5.0
1524873600.0,0.0,663.0,6.0,6.0,3.0
1524873600.0,1.0,257.0,2.0,5.0,7.0
1524960000.0,0.0,334.0,3.0,3.0,4.0
1524960000.0,1.0,689.0,6.0,8.0,9.0
1524960000.0,2.0,318.0,3.0,1.0,8.0
1525046400.0,0.0,883.0,8.0,8.0,3.0
1525046400.0,1.0,511.0,5.0,1.0,1.0
1525046400.0,2.0,852.0,8.0,5.0,2.0
1525132800.0,1.0,682.0,6.0,8.0,2.0
1525132800.0,0.0,147.0,1.0,4.0,7.0
1525132800.0,2.0,583.0,5.0,8.0,3.0
1525219200.0,1.0,821.0,8.0,2.0,1.0
1525219200.0,2.0,500.0,5.0,0.0,0.0
1525219200.0,0.0,429.0,4.0,2.0,9.0
1525305600.0,0.0,480.0,4.0,8.0,0.0
1525305600.0,1.0,706.0,7.0,0.0,6.0
1525305600.0,2.0,196.0,1.0,9.0,6.0
1525392000.0,0.0,385.0,3.0,8.0,5.0
1525392000.0,1.0,223.0,2.0,2.0,3.0
1525392000.0,2.0,357.0,3.0,5.0,7.0
1525478400.0,0.0,795.0,7.0,9.0,5.0
1525478400.0,1.0,928.0,9.0,2.0,8.0
1525478400.0,2.0,730.0,7.0,3.0,0.0
1525564800.0,0.0,584.0,5.0,8.0,4.0
1525564800.0,1.0,264.0,2.0,6.0,4.0
1525564800.0,2.0,198.0,1.0,9.0,8.0
1525651200.0,2.0,298.0,2.0,9.0,8.0
1525651200.0,0.0,871.0,8.0,7.0,1.0
1525651200.0,1.0,546.0,5.0,4.0,6.0
1525737600.0,0.0,211.0,2.0,1.0,1.0
1525737600.0,1.0,311.0,3.0,1.0,1.0
1525737600.0,2.0,729.0,7.0,2.0,9.0
1525824000.0,0.0,586.0,5.0,8.0,6.0
1525824000.0,1.0,865.0,8.0,6.0,5.0
1525824000.0,2.0,680.0,6.0,8.0,0.0
1525910400.0,2.0,801.0,8.0,0.0,1.0
1525910400.0,0.0,412.0,4.0,1.0,2.0
1525910400.0,1.0,70.0,0.0,7.0,0.0
1525996800.0,0.0,781.0,7.0,8.0,1.0
1525996800.0,1.0,280.0,2.0,8.0,0.0
1525996800.0,2.0,27.0,0.0,2.0,7.0
1526083200.0,0.0,577.0,5.0,7.0,7.0
1526083200.0,1.0,486.0,4.0,8.0,6.0
1526083200.0,2.0,144.0,1.0,4.0,4.0
1526169600.0,0.0,481.0,4.0,8.0,1.0
1526169600.0,2.0,682.0,6.0,8.0,2.0
1526169600.0,1.0,7.0,0.0,0.0,7.0
1526256000.0,0.0,692.0,6.0,9.0,2.0
1526256000.0,1.0,858.0,8.0,5.0,8.0
1526256000.0,2.0,878.0,8.0,7.0,8.0
1526342400.0,1.0,693.0,6.0,9.0,3.0
1526342400.0,0.0,396.0,3.0,9.0,6.0
1526342400.0,2.0,103.0,1.0,0.0,3.0
1526428800.0,2.0,130.0,1.0,3.0,0.0
1526428800.0,1.0,133.0,1.0,3.0,3.0
1526428800.0,0.0,540.0,5.0,4.0,0.0
1526515200.0,0.0,578.0,5.0,7.0,8.0
1526515200.0,1.0,31.0,0.0,3.0,1.0
1526515200.0,2.0,857.0,8.0,5.0,7.0
1526601600.0,2.0,519.0,5.0,1.0,9.0
1526601600.0,1.0,422.0,4.0,2.0,2.0
1526601600.0,0.0,336.0,3.0,3.0,6.0
1526688000.0,2.0,642.0,6.0,4.0,2.0
1526688000.0,1.0,312.0,3.0,1.0,2.0
1526688000.0,0.0,837.0,8.0,3.0,7.0
1526774400.0,0.0,922.0,9.0,2.0,2.0
1526774400.0,1.0,818.0,8.0,1.0,8.0
1526774400.0,2.0,634.0,6.0,3.0,4.0
1526860800.0,1.0,603.0,6.0,0.0,3.0
1526860800.0,2.0,302.0,3.0,0.0,2.0
1526860800.0,0.0,390.0,3.0,9.0,0.0
1526947200.0,0.0,28.0,0.0,2.0,8.0
1526947200.0,2.0,338.0,3.0,3.0,8.0
1526947200.0,1.0,63.0,0.0,6.0,3.0
1527033600.0,0.0,854.0,8.0,5.0,4.0
1527033600.0,1.0,338.0,3.0,3.0,8.0
1527033600.0,2.0,979.0,9.0,7.0,9.0
1527120000.0,0.0,252.0,2.0,5.0,2.0
1527120000.0,1.0,665.0,6.0,6.0,5.0
1527120000.0,2.0,832.0,8.0,3.0,2.0
1527206400.0,1.0,712.0,7.0,1.0,2.0
1527206400.0,2.0,735.0,7.0,3.0,5.0
1527206400.0,0.0,606.0,6.0,0.0,6.0
1527292800.0,0.0,874.0,8.0,7.0,4.0
1527292800.0,2.0,486.0,4.0,8.0,6.0
1527292800.0,1.0,738.0,7.0,3.0,8.0
1527379200.0,2.0,233.0,2.0,3.0,3.0
1527379200.0,1.0,844.0,8.0,4.0,4.0
1527379200.0,0.0,801.0,8.0,0.0,1.0
