DATE,DRAW,WINNING NUMBERS,winning_digit_1,winning_digit_2,winning_digit_3,winning_number_lag_1,winning_number_lag_2,winning_number_lag_3,winning_number_lag_4,winning_number_lag_5,winning_number_lag_6,winning_number_lag_7,winning_number_lag_8,winning_number_lag_9,winning_number_lag_10,winning_digit_1_lag_1,winning_digit_2_lag_1,winning_digit_3_lag_1,winning_digit_1_lag_2,winning_digit_2_lag_2,winning_digit_3_lag_2,winning_digit_1_lag_3,winning_digit_2_lag_3,winning_digit_3_lag_3,winning_digit_1_lag_4,winning_digit_2_lag_4,winning_digit_3_lag_4,winning_digit_1_lag_5,winning_digit_2_lag_5,winning_digit_3_lag_5,winning_digit_1_lag_6,winning_digit_2_lag_6,winning_digit_3_lag_6,winning_digit_1_lag_7,winning_digit_2_lag_7,winning_digit_3_lag_7,winning_digit_1_lag_8,winning_digit_2_lag_8,winning_digit_3_lag_8,winning_digit_1_lag_9,winning_digit_2_lag_9,winning_digit_3_lag_9,winning_digit_1_lag_10,winning_digit_2_lag_10,winning_digit_3_lag_10
1.3863744e+18,1.0,574.0,5.0,7.0,4.0,696.0,727.0,594.0,628.0,205.0,365.0,622.0,134.0,100.0,405.0,6.0,9.0,6.0,7.0,2.0,7.0,5.0,9.0,4.0,6.0,2.0,8.0,2.0,0.0,5.0,3.0,6.0,5.0,6.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,5.0
1.3863744e+18,0.0,615.0,6.0,1.0,5.0,574.0,696.0,727.0,594.0,628.0,205.0,365.0,622.0,134.0,100.0,5.0,7.0,4.0,6.0,9.0,6.0,7.0,2.0,7.0,5.0,9.0,4.0,6.0,2.0,8.0,2.0,0.0,5.0,3.0,6.0,5.0,6.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0
1.3864608e+18,1.0,813.0,8.0,1.0,3.0,615.0,574.0,696.0,727.0,594.0,628.0,205.0,365.0,622.0,134.0,6.0,1.0,5.0,5.0,7.0,4.0,6.0,9.0,6.0,7.0,2.0,7.0,5.0,9.0,4.0,6.0,2.0,8.0,2.0,0.0,5.0,3.0,6.0,5.0,6.0,2.0,2.0,1.0,3.0,4.0
1.3864608e+18,0.0,727.0,7.0,2.0,7.0,813.0,615.0,574.0,696.0,727.0,594.0,628.0,205.0,365.0,622.0,8.0,1.0,3.0,6.0,1.0,5.0,5.0,7.0,4.0,6.0,9.0,6.0,7.0,2.0,7.0,5.0,9.0,4.0,6.0,2.0,8.0,2.0,0.0,5.0,3.0,6.0,5.0,6.0,2.0,2.0
1.3865472e+18,1.0,179.0,1.0,7.0,9.0,727.0,813.0,615.0,574.0,696.0,727.0,594.0,628.0,205.0,365.0,7.0,2.0,7.0,8.0,1.0,3.0,6.0,1.0,5.0,5.0,7.0,4.0,6.0,9.0,6.0,7.0,2.0,7.0,5.0,9.0,4.0,6.0,2.0,8.0,2.0,0.0,5.0,3.0,6.0,5.0
1.3865472e+18,0.0,55.0,0.0,5.0,5.0,179.0,727.0,813.0,615.0,574.0,696.0,727.0,594.0,628.0,205.0,1.0,7.0,9.0,7.0,2.0,7.0,8.0,1.0,3.0,6.0,1.0,5.0,5.0,7.0,4.0,6.0,9.0,6.0,7.0,2.0,7.0,5.0,9.0,4.0,6.0,2.0,8.0,2.0,0.0,5.0
1.3866336e+18,1.0,535.0,5.0,3.0,5.0,55.0,179.0,727.0,813.0,615.0,574.0,696.0,727.0,594.0,628.0,0.0,5.0,5.0,1.0,7.0,9.0,7.0,2.0,7.0,8.0,1.0,3.0,6.0,1.0,5.0,5.0,7.0,4.0,6.0,9.0,6.0,7.0,2.0,7.0,5.0,9.0,4.0,6.0,2.0,8.0
1.3866336e+18,0.0,106.0,1.0,0.0,6.0,535.0,55.0,179.0,727.0,813.0,615.0,574.0,696.0,727.0,594.0,5.0,3.0,5.0,0.0,5.0,5.0,1.0,7.0,9.0,7.0,2.0,7.0,8.0,1.0,3.0,6.0,1.0,5.0,5.0,7.0,4.0,6.0,9.0,6.0,7.0,2.0,7.0,5.0,9.0,4.0
1.38672e+18,1.0,989.0,9.0,8.0,9.0,106.0,535.0,55.0,179.0,727.0,813.0,615.0,574.0,696.0,727.0,1.0,0.0,6.0,5.0,3.0,5.0,0.0,5.0,5.0,1.0,7.0,9.0,7.0,2.0,7.0,8.0,1.0,3.0,6.0,1.0,5.0,5.0,7.0,4.0,6.0,9.0,6.0,7.0,2.0,7.0
1.38672e+18,0.0,951.0,9.0,5.0,1.0,989.0,106.0,535.0,55.0,179.0,727.0,813.0,615.0,574.0,696.0,9.0,8.0,9.0,1.0,0.0,6.0,5.0,3.0,5.0,0.0,5.0,5.0,1.0,7.0,9.0,7.0,2.0,7.0,8.0,1.0,3.0,6.0,1.0,5.0,5.0,7.0,4.0,6.0,9.0,6.0
