DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/24/2021,MIDDAY,8 6 5,"1,032","$97,966"
05/23/2021,NIGHT,4 9 0,953,"$86,378"
05/23/2021,EVENING,9 9 9,"5,786","$2,147,476"
05/23/2021,MIDDAY,5 2 4,"2,415","$415,786"
05/22/2021,NIGHT,7 4 1,"2,048","$201,299"
05/22/2021,EVENING,2 4 8,"2,518","$245,075"
05/22/2021,MIDDAY,7 7 9,"1,266","$282,866"
05/21/2021,NIGHT,2 9 0,"1,216","$129,725"
05/21/2021,EVENING,3 8 5,"1,592","$163,658"
05/21/2021,MIDDAY,8 5 6,"1,486","$144,651"
05/20/2021,NIGHT,2 9 1,"4,114","$351,422"
05/20/2021,EVENING,1 8 9,"3,465","$366,006"
05/20/2021,MIDDAY,4 1 8,"2,938","$392,766"
05/19/2021,NIGHT,8 9 6,"1,104","$123,542"
05/19/2021,EVENING,1 4 6,"3,695","$376,551"
05/19/2021,MIDDAY,2 1 4,"8,520","$1,210,577"
05/18/2021,NIGHT,2 0 2,"1,743","$351,701"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/18/2021,EVENING,9 1 6,"3,114","$428,177"
05/18/2021,MIDDAY,5 9 1,"3,454","$281,775"
05/17/2021,NIGHT,2 7 5,"1,728","$148,158"
05/17/2021,EVENING,1 2 8,"5,898","$853,595"
05/17/2021,MIDDAY,8 2 2,"2,277","$496,209"
05/16/2021,NIGHT,2 0 3,"1,477","$173,943"
05/16/2021,EVENING,5 1 7,"2,353","$390,334"
05/16/2021,MIDDAY,1 1 9,"3,883","$749,648"
05/15/2021,NIGHT,5 2 8,"2,264","$316,620"
05/15/2021,EVENING,3 8 5,"2,014","$257,269"
05/15/2021,MIDDAY,5 7 9,"1,855","$256,095"
05/14/2021,NIGHT,2 0 5,"1,923","$236,817"
05/14/2021,EVENING,0 1 9,"4,336","$321,563"
05/14/2021,MIDDAY,9 0 2,"2,358","$273,254"
05/13/2021,NIGHT,0 5 7,"1,245","$95,790"
05/13/2021,EVENING,1 7 5,"2,528","$264,723"
